R,English,中文,同义,次数,总次数,正确率
0.276720427,univocal,含义明确的,clearly expressed,0.0,1.0,1.0
0.510640196,splutter,急切而不清楚地说,speak hastily and incoherently,0.0,1.0,1.0
0.076971995,agape,急切盼望的,eagerly awaiting,0.0,0.0,
0.63272412,apprehensive,知晓的，理解的；恐惧的，害怕的,1. impressed on the mind; 2. anxious; fearful,0.0,0.0,
0.435915425,reprove,温和地责备，警告,scold gently,0.0,0.0,
0.23870137800000002,suture,缝合,joining,0.0,0.0,
0.22703066,murky,模糊的，晦涩的,lacking clarity,0.0,0.0,
0.784832214,hierarchical,分等级的，等级制的,classified,0.0,0.0,
0.771763616,cogent,令人信服的；相关的,1. convincing; 2. pertinent,0.0,0.0,
0.48620777200000004,plunge,突然下降,descend suddenly,0.0,0.0,
0.9068344420000001,cosmopolitan,有世界性眼光的，包容的,having worldwide scope,0.0,0.0,
0.662979002,coy,不愿与人交往的，内向的,tending to avoid people,0.0,0.0,
0.810088826,evince,表明,make known,0.0,0.0,
0.59464486,sly,狡猾的,clever or cunning,0.0,0.0,
0.180962231,deposit,自然积累，沉积，矿藏；存钱,1. accumulation; 2. put in account,0.0,0.0,
0.7977482140000001,singe,轻微烧焦,burn superficially,0.0,0.0,
0.441469399,lapse,小过失,slight error,0.0,0.0,
0.360549791,teeter,蹒跚，不稳定地行走；犹豫不决,1. unsteadily; 2. uncertainty,0.0,0.0,
0.8417326740000001,coagulate,(使)凝结，(使)变稠,clot,0.0,0.0,
0.24180402899999998,vigilant,警醒的，警惕的, alertly watchful,0.0,0.0,
0.37932892,ungainly,笨拙的，不雅的,inability in a graceful manner,0.0,0.0,
0.16355027,outrageous,过分的，难以容忍的；极坏的，极可怕的,1. exceeding the limits; 2. bad or horrible,0.0,0.0,
0.132874151,smuggling,走私，私运,importation or exportation contrary to the law,0.0,0.0,
0.320929366,circuitous,迂回的，不直接的,not being forthright,0.0,0.0,
0.56725066,stammer,口吃，结巴,speak with pauses,0.0,0.0,
0.355819513,unruly,难驾驭的，不守规矩的,difficult to discipline,0.0,0.0,
0.854592915,parsimonious,过度节俭的，吝啬的,stinginess,0.0,0.0,
0.600273352,scathing,尖酸刻薄的,cause hurt feelings,0.0,0.0,
0.289745353,interrogate,质问，审问,question formally,0.0,0.0,
0.980256963,nourish,培养，促进,help the growth,0.0,0.0,
0.8526227609999999,bigot,固执己见者，有偏见的人,a person obstinately devoted to his own opinions,0.0,0.0,
0.55816484,invective,侮辱性的,characterized by insult,0.0,0.0,
0.8380542999999999,extract,用力拔出,take out,0.0,0.0,
0.9013312179999999,aspirant,有抱负者，有野心者,aspire,0.0,0.0,
0.6456688829999999,inanimate,无生命的,not living,0.0,0.0,
