R,English,中文,同义,次数,总次数,正确率
0.276720427,exempt,使免除,release from liability,0.0,1.0,1.0
0.510640196,stultify,使无效，抑制,render futile,1.0,1.0,0.0
0.076971995,retort,(尤指机智的)回应，回答,quick reply,1.0,1.0,0.0
0.63272412,exuberant,非常高兴的，热情洋溢的,joyously unrestrained,1.0,1.0,0.0
0.435915425,supplicate,恳求，乞求,make a request in earnest or urgent manner,1.0,1.0,0.0
0.238701378,remunerate,支付报酬，补偿,pay,1.0,1.0,0.0
0.22703066,circumlocution,冗长,the use of too many words to express an idea,1.0,1.0,0.0
0.784832214,obstreperous,不听话的，任性的,unruly,1.0,1.0,0.0
0.771763616,ecstasy,狂喜,intense joy,0.0,1.0,1.0
0.486207772,retouch,润饰，改进,improve,1.0,1.0,0.0
0.906834442,bravado,假装勇敢；虚张声势,1. a pretense of bravery; 2. swaggering conduct,1.0,1.0,0.0
0.662979002,supplant,排挤，篡夺…的位置,usurp the place of,1.0,1.0,0.0
0.810088826,iniquity,邪恶，不公正,immorality injustice,0.0,1.0,1.0
0.59464486,intercessor,调停者,mediates,1.0,1.0,0.0
0.180962231,vigorous,精力旺盛的,active strength,1.0,1.0,0.0
0.7977482140000001,divestiture,剥夺,taking away,1.0,1.0,0.0
0.441469399,propriety,适当，得体,the quality of being suitable or fitting,0.0,1.0,1.0
0.360549791,reserved,内向的，缄默的,restrained,1.0,1.0,0.0
0.8417326740000001,advert,引起注意；提到,refer,1.0,1.0,0.0
0.241804029,limber,可塑的，柔软的,flexible,1.0,1.0,0.0
0.37932892,tackle,着手处理,start work,1.0,1.0,0.0
0.16355027,effete,衰弱的，衰落的,depleted,1.0,1.0,0.0
0.132874151,phlegmatic,冷静的，无感情的，淡漠的,"having a calm, sluggish temperament",0.0,0.0,
0.320929366,palaver,对话，交流；闲聊,1. an exchange of views; 2. talk profusely,0.0,0.0,
0.56725066,secrete,隐藏；分泌,1. conceal; 2. generate,0.0,0.0,
0.355819513,meditate,思索，沉思,focus one's thoughts on,0.0,0.0,
