English,同义,中文,次数,总次数,正确率
elusive,slippery,难抓住的;难理解的,,,
fathom,-,理解,2,2,0
downplay,-,不予重视,,,
exhaustive,encyclopedic,全面的,,,
evolve,-,逐渐发展,,,
design,purposefulness,故意;设计,1,1,0
forbear,-,克制,,,
square with,-,遵从,1,1,0
detestation,-,憎恶,1,1,0
formulaic,canned,老套的,,,
divorced,untethered,分离的,,,
covet,-,贪求,1,1,0
demise,-,终止;死亡,1,1,0
dire,-,可怕的,1,1,0
exceptional,preternatural,不寻常的;杰出的,,,
covert,-,秘密的,0,1,1
feigned,FALSE,假的,,,
conciliatory,-,愿意和解的,1,1,0
fractious,restive,易怒的;难对付的,,,
disgorge,dump,排出,0,1,1
eminent,famous,杰出的,,,
mendacity,-,故意的假情报,1,1,0
knotty,-,复杂难懂的,1,1,0
cryptic,elusive,难解的,0,1,1
dovish,pacific,和平主义的,,,
deify,-,神化,1,1,0
douse,extinguish,熄灭,,,
enterprising,-,有进取心的,,,
generate,originate,产生,,,
encomium,tribute,赞美,,,
entrench,-,"使…巩固,确立",,,
exuberant,-,过度的;热情的,,,
estrange,disaffect,使疏远,,,
exalt,valorize,赞扬,,,
fallacious,-,谬误的,,,
enviable,coveted,令人羡慕的,,,
fester,-,恶化,,,
bedrock,inception,基础,,,
fervor,-,热诚,,,
dexterous,nimble,机敏的,1,1,0
accession,-,就职;遵守,1,1,0
embryonic,rudimentary,萌芽期的,,,
errant,wayward,不定的,,,
contigent,circumstantial,取决于,1,1,0
wane,-,衰落,1,1,0
defect,-,缺陷,1,2,0.5
convoluted,intricate,复杂难解的,0,1,1
elegiac,plaintive,哀悼的,,,
flummox,confound,使困惑,,,
fastidious,-,挑剔的,,,
demur,-,表示反对,1,1,0
auspicious,-,有望成功的,0,1,1
dramatic,spectacular,剧烈的;引人注目的,,,
galvanize,animate,激励,,,
damp,palliate,使减弱,1,1,0
futile,pointless,无用的,,,
elicit,draw out,引出,,,
feeble,-,虚弱的,,,
gaffe,-,无礼,,,
derivative,-,非原创的,0,1,1
fitting,apposite,合适的,,,
exhilarate,-,使兴奋,,,
enfeeble,-,使衰弱,,,
disdain,contempt,鄙视,0,1,1
encyclopedic,polymathic,广博的;全面的,,,
fickle,volatile,善变的,,,
demacation,-,界限,1,1,0
conspicuous,obtrusive,显眼的,0,1,1
derision,-,嘲笑,1,1,0
unwieldy,-,复杂难做的,1,1,0
exigent,pressing,迫切的,,,
endorse,sanction,支持,,,
extinguish,douse,熄灭;毁灭,,,
decisive,unmistakable,果断的;毋庸置疑的,0,1,1
favorable,auspicious,赞同的;有利的,,,
figurative,symbolic,比喻的,,,
exonerate,absolve,免罪,,,
gainsay,-,否认,,,
